CAN_ID,p_des,p_act,tff_des,tff_act
0x0004,0,0.00209808,-0.107002,-0.189255
0x0004,4.8405e-05,0.00209808,-0.104582,-0.103785
0x0004,0.000193807,0.00209808,-0.0973119,-0.177046
0x0004,0.00043602,0.00209808,-0.0852013,-0.189255
0x0004,0.000775136,0.00209808,-0.0682455,-0.164835
0x0004,0.00121106,0.00209808,-0.0464491,-0.140415
0x0004,0.0017438,0.00209808,-0.0198123,-0.103785
0x0004,0.00237334,0.00209808,0.011665,-0.0671558
0x0004,0.00309961,0.00209808,0.0479781,-0.0183144
0x0004,0.00392259,0.00247955,0.0696721,0.0305252
0x0004,0.00484228,0.00247955,0.115657,0.103785
0x0004,0.00585851,0.00247955,0.166468,0.152626
0x0004,0.00697126,0.00286102,0.202651,0.238094
0x0004,0.00818045,0.00286102,0.26311,0.299145
0x0004,0.00948608,0.00400543,0.270027,0.250305
0x0004,0.010888,0.00667572,0.20394,0.0915756
0x0004,0.0123862,0.0104904,0.0842969,-0.0915756
0x0004,0.0139804,0.0139236,-0.0110838,-0.201466
0x0004,0.0156708,0.0154495,-0.00438681,-0.201466
0x0004,0.0174571,0.0146866,0.123838,-0.0305252
0x0004,0.0193391,0.0146866,0.217938,0.054945
0x0004,0.0213168,0.015831,0.258462,0.213675
0x0004,0.0233902,0.0177383,0.264855,0.189255
0x0004,0.025559,0.0204086,0.237109,0.152626
0x0004,0.0278232,0.0230789,0.214133,0.103785
0x0004,0.0301825,0.0246048,0.254278,0.103785
0x0004,0.0326367,0.0253677,0.33808,0.323565
0x0004,0.035186,0.0253677,0.465544,0.531136
0x0004,0.0378299,0.0257492,0.578285,0.677656
0x0004,0.0405684,0.0284195,0.579025,0.641026
0x0004,0.0434012,0.0333796,0.467705,0.372406
0x0004,0.0463283,0.0398645,0.283323,-0.0183144
0x0004,0.0493494,0.046731,0.0841917,-0.225885
0x0004,0.0524644,0.0513086,0.00648031,-0.323565
0x0004,0.0556731,0.0520716,0.128004,-0.164835
0x0004,0.0589752,0.0513086,0.332021,0.115995
0x0004,0.0623705,0.0520716,0.462875,0.347986
0x0004,0.0658589,0.0539789,0.540022,0.506716
0x0004,0.0694402,0.0577936,0.524533,0.433455
0x0004,0.073114,0.0627527,0.45531,0.274725
0x0004,0.0768802,0.0684748,0.351797,0.0427341
0x0004,0.0807387,0.0745783,0.233441,-0.115995
0x0004,0.084689,0.0803003,0.139131,-0.225885
0x0004,0.0887309,0.0829706,0.205045,-0.0671558
0x0004,0.0928643,0.0822077,0.450621,0.274725
0x0004,0.0970888,0.0822077,0.661848,0.567766
0x0004,0.101404,0.0844965,0.760891,0.738707
0x0004,0.10581,0.0898371,0.70883,0.592186
0x0004,0.110307,0.0978489,0.525048,0.213675
0x0004,0.114893,0.107767,0.248549,-0.0427341
0x0004,0.11957,0.115778,0.0738136,-0.396826
0x0004,0.124336,0.119211,0.137008,-0.335775
0x0004,0.129191,0.119211,0.379764,0.0305252
0x0004,0.134135,0.119593,0.607512,0.396826
0x0004,0.139167,0.121881,0.742413,0.616606
0x0004,0.144288,0.127604,0.706639,0.445665
0x0004,0.149497,0.13714,0.480712,0.238094
0x0004,0.154794,0.147058,0.239715,-0.164835
0x0004,0.160178,0.153543,0.178176,-0.421246
0x0004,0.165649,0.156978,0.276583,-0.274725
0x0004,0.171207,0.159266,0.437737,0.00610542
0x0004,0.176851,0.163081,0.525388,0.177046
0x0004,0.182581,0.168803,0.520062,0.262516
0x0004,0.188396,0.175288,0.480109,0.201466
0x0004,0.194297,0.18101,0.483326,0.0915756
0x0004,0.200283,0.186732,0.490794,0.054945
0x0004,0.206353,0.192836,0.483029,0.0793648
0x0004,0.212508,0.199702,0.440567,0.054945
0x0004,0.218746,0.206187,0.421746,0.0305252
0x0004,0.225068,0.210765,0.50437,0.115995
0x0004,0.231472,0.215343,0.591147,0.164835
0x0004,0.23796,0.221828,0.58473,0.201466
0x0004,0.244529,0.229458,0.524106,0.177046
0x0004,0.25118,0.23785,0.428664,0.0183144
0x0004,0.257913,0.244335,0.434565,-0.0793648
0x0004,0.264727,0.249676,0.502884,-0.0427341
0x0004,0.271621,0.256161,0.516865,0.0915756
0x0004,0.278596,0.263027,0.515393,0.177046
0x0004,0.28565,0.269512,0.537365,0.115995
0x0004,0.292783,0.275234,0.602212,0.128204
0x0004,0.299995,0.282102,0.612586,0.177046
0x0004,0.307286,0.290875,0.529654,0.177046
0x0004,0.314655,0.298886,0.489531,-0.0183144
0x0004,0.322101,0.306134,0.492188,-0.054945
0x0004,0.329624,0.313001,0.518149,0.054945
0x0004,0.337223,0.320249,0.528489,0.115995
0x0004,0.344899,0.327497,0.542631,0.115995
0x0004,0.35265,0.3336,0.618919,0.115995
0x0004,0.360477,0.340848,0.640602,0.140415
0x0004,0.368378,0.349623,0.588148,0.201466
0x0004,0.376353,0.358778,0.519994,0.054945
0x0004,0.384402,0.366407,0.533346,-0.0671558
0x0004,0.392525,0.374418,0.530897,-0.0183144
0x0004,0.40072,0.382429,0.532091,0.128204
0x0004,0.408987,0.389677,0.575796,0.0671558
0x0004,0.417325,0.396544,0.642544,0.128204
0x0004,0.425735,0.404173,0.673938,0.189255
0x0004,0.434216,0.414092,0.592082,0.201466
0x0004,0.442766,0.422866,0.572146,0.00610542
0x0004,0.451386,0.432021,0.536237,-0.0427341
0x0004,0.460076,0.440795,0.523239,0.0915756
0x0004,0.468833,0.448806,0.552569,0.00610542
0x0004,0.477659,0.455672,0.643665,0.0915756
0x0004,0.486552,0.463683,0.679768,0.189255
0x0004,0.495512,0.473221,0.641349,0.238094
0x0004,0.504539,0.483139,0.586839,0.0183144
0x0004,0.513631,0.492294,0.574525,0.0183144
0x0004,0.522788,0.502213,0.526564,0.103785
0x0004,0.53201,0.510605,0.559653,-0.0183144
0x0004,0.541296,0.518616,0.615407,-0.00610542
0x0004,0.550646,0.52739,0.635423,0.201466
0x0004,0.560058,0.536927,0.619623,0.213675
0x0004,0.569533,0.545701,0.6459,0.0671558
0x0004,0.57907,0.555619,0.616905,0.128204
0x0004,0.588668,0.565919,0.571511,0.115995
0x0004,0.598326,0.575074,0.587508,-0.0305252
0x0004,0.608044,0.584229,0.606501,0.054945
0x0004,0.617822,0.594149,0.589516,0.152626
0x0004,0.627658,0.602922,0.633877,0.0305252
0x0004,0.637553,0.612078,0.661691,0.115995
0x0004,0.647505,0.622759,0.614565,0.238094
0x0004,0.657515,0.632677,0.609195,0.0183144
0x0004,0.66758,0.642595,0.606652,0.0305252
0x0004,0.677702,0.653276,0.567981,0.140415
0x0004,0.687878,0.662814,0.590371,-0.0305252
0x0004,0.698109,0.672351,0.615539,0.054945
0x0004,0.708393,0.682651,0.604485,0.213675
0x0004,0.718731,0.692569,0.615551,0.0305252
0x0004,0.729122,0.702487,0.629239,0.0793648
0x0004,0.739564,0.71355,0.587164,0.164835
0x0004,0.750057,0.72385,0.58651,-0.054945
0x0004,0.760602,0.73415,0.588438,0.054945
0x0004,0.771196,0.74445,0.592861,0.140415
0x0004,0.781839,0.754368,0.619212,-0.0183144
0x0004,0.792532,0.764668,0.628537,0.152626
0x0004,0.803272,0.775349,0.620819,0.189255
0x0004,0.814059,0.786412,0.595945,-0.0183144
0x0004,0.824894,0.797093,0.592917,0.152626
0x0004,0.835774,0.808156,0.572738,0.0183144
0x0004,0.846699,0.818456,0.593733,-0.0427341
0x0004,0.85767,0.829137,0.597506,0.164835
0x0004,0.868684,0.839818,0.603479,0.0671558
0x0004,0.879741,0.850119,0.631024,0.054945
0x0004,0.890842,0.861944,0.582929,0.225885
0x0004,0.901984,0.873007,0.575839,-0.0183144
0x0004,0.913167,0.884069,0.570817,0.054945
0x0004,0.924391,0.895514,0.548361,0.128204
0x0004,0.935655,0.905813,0.586261,-0.0305252
0x0004,0.946958,0.916495,0.606633,0.164835
0x0004,0.958299,0.927939,0.59006,0.128204
0x0004,0.969679,0.938621,0.614286,0.0183144
0x0004,0.981095,0.950828,0.56254,0.201466
0x0004,0.992548,0.962272,0.551528,-0.0183144
0x0004,1.00404,0.973717,0.54225,0.0305252
0x0004,1.01556,0.985161,0.534764,0.128204
0x0004,1.02712,0.995842,0.56791,-0.0427341
0x0004,1.03871,1.0069,0.583258,0.164835
0x0004,1.05033,1.01873,0.561353,0.0915756
0x0004,1.06199,1.02979,0.579962,0.0427341
0x0004,1.07368,1.04162,0.561185,0.189255
0x0004,1.08539,1.05344,0.543989,-0.0305252
0x0004,1.09714,1.06489,0.547745,0.115995
0x0004,1.10892,1.0771,0.51405,0.0793648
0x0004,1.12072,1.08816,0.540145,-0.0427341
0x0004,1.13256,1.09999,0.528664,0.189255
0x0004,1.14442,1.11105,0.557495,0.0305252
0x0004,1.15631,1.12249,0.568188,0.0793648
0x0004,1.16822,1.1347,0.541253,0.201466
0x0004,1.18016,1.14691,0.515557,-0.0305252
0x0004,1.19212,1.15911,0.491017,0.152626
0x0004,1.2041,1.17132,0.467694,-0.0183144
0x0004,1.21611,1.18238,0.503862,0.0183144
0x0004,1.22814,1.19421,0.502223,0.140415
0x0004,1.24019,1.20527,0.540542,0.0305252
0x0004,1.25226,1.2171,0.540977,0.213675
0x0004,1.26435,1.22931,0.522887,0.103785
0x0004,1.27646,1.24151,0.505798,0.0427341
0x0004,1.28859,1.25448,0.450699,0.140415
0x0004,1.30073,1.26631,0.454836,-0.103785
0x0004,1.31289,1.27813,0.459813,0.103785
0x0004,1.32507,1.28996,0.465528,0.0427341
0x0004,1.33726,1.30102,0.510959,0.0915756
0x0004,1.34947,1.31323,0.498752,0.225885
0x0004,1.36169,1.32544,0.487224,0.00610542
0x0004,1.37392,1.33764,0.476334,0.189255
0x0004,1.38617,1.35061,0.4271,-0.0183144
0x0004,1.39843,1.36282,0.417408,0.0427341
0x0004,1.41069,1.37579,0.369319,0.0793648
0x0004,1.42297,1.38685,0.419006,-0.0793648
0x0004,1.43526,1.39868,0.430235,0.213675
0x0004,1.44755,1.41051,0.441839,0.0671558
0x0004,1.45986,1.42233,0.453867,0.115995
0x0004,1.47217,1.43492,0.427325,0.177046
0x0004,1.48448,1.44713,0.420537,-0.0671558
0x0004,1.4968,1.4601,0.375112,0.189255
0x0004,1.50913,1.47231,0.368781,-0.0915756
0x0004,1.52146,1.48413,0.382138,0.103785
0x0004,1.53379,1.49634,0.376196,0.0915756
0x0004,1.54612,1.50778,0.409282,0.00610542
0x0004,1.55846,1.51999,0.403536,0.262516
0x0004,1.5708,1.5322,0.397772,-0.00610542
0x0004,1.58313,1.54479,0.372607,0.152626
